team_name,player_name,player_id,role,bowling_arm,bowling_type,batting_hand,batter_classification,bowler_classification,batter_tags,bowler_tags,is_captain
Mumbai Indians,Mayank Markande,a9fd84fb,Bowler,Right-arm,Leg-spin,Right-hand,,,,WORKHORSE
Mumbai Indians,Raghu Sharma,5b615e7c,Bowler,Right-arm,Fast,Right-hand,,,,
Mumbai Indians,Ashwani Kumar,d45c29b1,Bowler,Right-arm,Fast,Right-hand,,,,
Royal Challengers Bengaluru,Phil Salt,3d284ca3,Wicketkeeper,Right-arm,Medium,Right-hand,,,EXPLOSIVE_OPENER|PP_DOMINATOR|MIDDLE_OVERS_ACCELERATOR|DEATH_SPECIALIST|SIX_HITTER,
Royal Challengers Bengaluru,Tim David,f1f99156,Batter,Right-arm,Off-spin,Right-hand,,,FINISHER|DEATH_SPECIALIST|SIX_HITTER,
Royal Challengers Bengaluru,Jitesh Sharma,800d2d97,Wicketkeeper,Right-arm,Medium,Right-hand,,,FINISHER|MIDDLE_OVERS_ACCELERATOR|DEATH_SPECIALIST|SIX_HITTER,
Royal Challengers Bengaluru,Suyash Sharma,9440ef41,Bowler,Right-arm,Leg-spin,Right-hand,,,,WORKHORSE
Royal Challengers Bengaluru,Jacob Bethell,3c55c703,All-rounder,Left-arm,Left-arm orthodox,Left-hand,,,,
Royal Challengers Bengaluru,Swapnil Singh,983f2f61,All-rounder,Left-arm,Left-arm orthodox,Left-hand,,,,
Royal Challengers Bengaluru,Romario Shepherd,c5aef772,All-rounder,Right-arm,Fast,Right-hand,,,,PART_TIMER
Royal Challengers Bengaluru,Raqibul Hasan,17efdeb8,Batter,Right-arm,Medium,Right-hand,,,,
Royal Challengers Bengaluru,Satvik Deswal,fcf71d05,Bowler,Left-arm,Left-arm wrist spin,Left-hand,,,,
Royal Challengers Bengaluru,Abhinandan Singh,ee456271,Bowler,Right-arm,Fast,Right-hand,,,,
Royal Challengers Bengaluru,Mangesh Yadav,b1ad996b,Bowler,Left-arm,Fast,Left-hand,,,,
Royal Challengers Bengaluru,Jacob Duffy,dadbdb68,Bowler,Right-arm,Fast,Right-hand,,,,
Royal Challengers Bengaluru,Jordan Cox,ff154ecd,Wicketkeeper,Right-arm,Medium,Right-hand,,,,
Kolkata Knight Riders,Rinku Singh,0a509d6b,Batter,Right-arm,Medium,Left-hand,,,FINISHER|DEATH_SPECIALIST|SIX_HITTER|PACE_SPECIALIST,
Kolkata Knight Riders,Ramandeep Singh,be24ead0,All-rounder,Right-arm,Medium,Right-hand,,,,
Kolkata Knight Riders,Angkrish Raghuvanshi,d7017798,Batter,Right-arm,Medium,Right-hand,,,MIDDLE_ORDER,
Kolkata Knight Riders,Rovman Powell,650d5e49,Batter,Right-arm,Medium,Right-hand,,,,
Kolkata Knight Riders,Umran Malik,81c08fa3,Bowler,Right-arm,Fast,Right-hand,,,,PART_TIMER|PRESSURE_BUILDER
Kolkata Knight Riders,Anukul Roy,e4cdf230,All-rounder,Left-arm,Left-arm orthodox,Left-hand,,,,
Kolkata Knight Riders,Cameron Green,eaa76d3c,All-rounder,Right-arm,Fast,Left-hand,,,,
Kolkata Knight Riders,Matheesha Pathirana,64839cb3,Bowler,Right-arm,Fast,Right-hand,,,,DEATH_SPECIALIST
Kolkata Knight Riders,Finn Allen,b52ffbbd,Wicketkeeper,Right-arm,Medium,Right-hand,,,,
Kolkata Knight Riders,Tim Seifert,4663bd23,Wicketkeeper,Right-arm,Medium,Right-hand,,,,
Kolkata Knight Riders,Rachin Ravindra,ba5e1069,All-rounder,Left-arm,Left-arm orthodox,Left-hand,,,,
Kolkata Knight Riders,Akash Deep,0a67aec0,Bowler,Right-arm,Fast,Right-hand,,,,PART_TIMER
Kolkata Knight Riders,Prashant Solanki,c695b423,Bowler,Left-arm,Left-arm orthodox,Left-hand,,,,
Kolkata Knight Riders,Tejasvi Singh,0bf15e52,Wicketkeeper,Right-arm,Medium,Right-hand,,,,
Kolkata Knight Riders,Sarthak Ranjan,d7cdefa9,Bowler,Right-arm,Fast,Right-hand,,,,
Kolkata Knight Riders,Daksh Kamra,1a628a92,All-rounder,Right-arm,Medium,Right-hand,,,,
Delhi Capitals,Tristan Stubbs,85b3fab2,All-rounder,Right-arm,Medium,Right-hand,,,FINISHER|DEATH_SPECIALIST|SIX_HITTER|CONSISTENT,
Delhi Capitals,Ashutosh Sharma,84d9c311,All-rounder,Right-arm,Off-spin,Right-hand,,,,
Delhi Capitals,Abhishek Porel,ad3b6e95,Wicketkeeper,Right-arm,Medium,Right-hand,,,EXPLOSIVE_OPENER|PP_DOMINATOR|MIDDLE_OVERS_ACCELERATOR|DEATH_SPECIALIST|SIX_HITTER|PACE_SPECIALIST,
Delhi Capitals,Sameer Rizvi,f89d3b11,Batter,Right-arm,Medium,Right-hand,,,,
Delhi Capitals,Vipraj Nigam,5ffc0565,Batter,Right-arm,Medium,Right-hand,,,,WORKHORSE
Delhi Capitals,Madhav Tiwari,fb5f69e4,All-rounder,Right-arm,Medium,Right-hand,,,,
Delhi Capitals,Tripurana Vijay,51ec3919,Batter,Right-arm,Medium,Right-hand,,,,
Delhi Capitals,Ajay Mandal,31ee319e,All-rounder,Right-arm,Medium,Right-hand,,,,
Delhi Capitals,Pathum Nissanka,8ee36b18,Batter,Right-arm,Off-spin,Right-hand,,,,
Delhi Capitals,Kyle Jamieson,68c56d09,Bowler,Right-arm,Fast,Right-hand,,,,PART_TIMER|PRESSURE_BUILDER
Delhi Capitals,Ben Duckett,5f26f677,Batter,Right-arm,Medium,Left-hand,,,,
Delhi Capitals,Prithvi Shaw,8b3e9c7c,Batter,Right-arm,Leg-spin,Right-hand,,,EXPLOSIVE_OPENER|PP_DOMINATOR|MIDDLE_OVERS_ACCELERATOR,
Delhi Capitals,Sahil Parakh,90d86fbd,All-rounder,Right-arm,Leg-spin,Left-hand,,,,
Delhi Capitals,Auqib Nabi Dar,557550a4,Bowler,Right-arm,Fast,Right-hand,,,,
Punjab Kings,Shashank Singh,26989d80,All-rounder,Right-arm,Medium,Right-hand,,,FINISHER|DEATH_SPECIALIST|SIX_HITTER|CONSISTENT|PACE_SPECIALIST,
Punjab Kings,Nehal Wadhera,d1a60072,Batter,Right-arm,Medium,Right-hand,,,MIDDLE_ORDER|MIDDLE_OVERS_ACCELERATOR|SIX_HITTER|SPIN_SPECIALIST,
Punjab Kings,Prabhsimran Singh,9418198b,Wicketkeeper,Right-arm,Medium,Right-hand,,,EXPLOSIVE_OPENER|PP_DOMINATOR|MIDDLE_OVERS_ACCELERATOR|DEATH_SPECIALIST|SIX_HITTER,
Punjab Kings,Priyansh Arya,b5797845,Batter,Right-arm,Medium,Left-hand,,,,
Punjab Kings,Azmatullah Omarzai,8f6dd463,All-rounder,Right-arm,Fast,Right-hand,,,,PART_TIMER
Punjab Kings,Vijaykumar Vyshak,54e52590,Bowler,Right-arm,Fast,Right-hand,,,,PART_TIMER
Punjab Kings,Harpreet Brar,c05edf8e,All-rounder,Left-arm,Left-arm orthodox,Left-hand,,,,MIDDLE_OVERS_CONTROLLER|MID_OVERS_ELITE
Punjab Kings,Vishnu Vinod,0494fa6e,Wicketkeeper,Right-arm,Medium,Right-hand,,,,
Punjab Kings,Xavier Bartlett,3b53243a,Bowler,Right-arm,Fast,Right-hand,,,,
Punjab Kings,Suryansh Shedge,970ddd24,All-rounder,Right-arm,Off-spin,Right-hand,,,,
Punjab Kings,Pyla Avinash,afb6ebee,Batter,Right-arm,Fast,Right-hand,,,,
Punjab Kings,Musheer Khan,d621b427,All-rounder,Left-arm,Left-arm orthodox,Left-hand,,,,
Punjab Kings,Cooper Connolly,fe366f34,All-rounder,Left-arm,Left-arm orthodox,Left-hand,,,,
Punjab Kings,Ben Dwarshuis,e1b9f3a9,Bowler,Left-arm,Fast,Left-hand,,,,
