match_phase,bowler_id,bowler_name,overs,wickets,runs_conceded,economy,dot_ball_pct,pct_overs_in_phase,pct_wickets_in_phase,sample_size,phase_rank
death,4885bbe6,Yudhvir Singh,3.0,1.0,36.0,12.0,16.67,12.9,12.5,MEDIUM,99
death,a457cfb5,Mayank Dagar,2.8,0.0,22.0,7.76,29.41,12.4,0.0,MEDIUM,100
death,f9e6e7ef,Shahbaz Ahmed,2.5,1.0,31.0,12.4,20.0,5.8,11.1,MEDIUM,101
death,b681e71e,GJ Maxwell,2.3,1.0,26.0,11.14,21.43,5.9,7.7,MEDIUM,102
death,f29185a1,Abhishek Sharma,2.0,1.0,41.0,20.5,16.67,6.7,25.0,MEDIUM,103
death,50c6bc2b,LS Livingstone,2.0,1.0,7.0,3.5,50.0,7.1,14.3,MEDIUM,104
death,04a418e8,R Parag,1.0,0.0,11.0,11.0,16.67,4.3,0.0,MEDIUM,105
death,9caf69a1,WG Jacks,1.0,0.0,10.0,10.0,16.67,4.3,0.0,MEDIUM,106
death,b483905d,Akash Singh,1.0,1.0,10.0,10.0,16.67,3.3,11.1,MEDIUM,107
death,fcc21ace,A Kamboj,0.5,1.0,3.0,6.0,33.33,1.6,10.0,MEDIUM,108
death,6a26221c,AK Markram,0.2,0.0,1.0,6.0,0.0,0.8,0.0,MEDIUM,109
