bowler_id,bowler_name,powerplay_overs,powerplay_economy,powerplay_wickets,middle_overs,middle_economy,middle_wickets,death_overs,death_economy,death_wickets,phase_tags
ce4cc4d5,R Ninan,0.0,,0.0,5.0,9.8,3.0,1.0,16.0,0.0,
04a418e8,R Parag,2.0,8.0,1.0,45.0,9.58,8.0,2.2,14.31,0.0,
650d5e49,R Powell,0.0,,0.0,2.0,10.5,1.0,1.0,14.0,0.0,
d68e7f48,R Rampaul,26.0,5.85,8.0,9.0,6.0,3.0,8.7,11.77,4.0,
ba5e1069,R Ravindra,0.0,,0.0,2.0,3.5,0.0,0.0,,0.0,
c7a995d3,R Sai Kishore,3.0,11.0,1.0,57.0,8.37,22.0,13.5,10.74,9.0,
33ffc3dd,R Sanjay Yadav,1.0,8.0,0.0,1.0,15.0,0.0,0.0,,0.0,
626c5379,R Sathish,0.0,,0.0,19.0,8.11,5.0,4.2,18.96,1.0,
5d9a1a73,R Sharma,15.0,6.73,2.0,114.0,6.75,32.0,25.7,8.96,8.0,MIDDLE_OVERS_BEAST
c5aef772,R Shepherd,4.0,9.25,2.0,24.0,11.71,5.0,7.0,14.0,5.0,
de4b0555,R Shukla,9.0,8.78,4.0,6.0,10.83,1.0,5.0,14.6,2.0,
39a2dfa8,R Tewatia,2.0,7.5,0.0,131.0,7.99,32.0,7.5,7.33,4.0,
41eb4a4f,R Vinay Kumar,125.0,7.28,33.0,119.0,7.89,32.0,109.5,10.7,62.0,DEATH_LIABILITY
fe93fd9d,RA Jadeja,24.0,8.29,6.0,564.0,7.55,140.0,88.0,8.92,33.0,
7c390b03,RA Shaikh,1.0,11.0,0.0,0.0,,0.0,0.0,,0.0,
77255a9e,RA Tripathi,0.0,,0.0,1.0,12.0,0.0,0.0,,0.0,
2ed569a0,RD Chahar,12.0,7.92,3.0,239.0,7.77,58.0,27.3,8.16,15.0,
05c2ca46,RE van der Merwe,6.0,10.0,4.0,52.0,6.19,14.0,15.8,8.4,7.0,MIDDLE_OVERS_BEAST
b2b23612,RG More,1.0,15.0,0.0,2.0,9.0,1.0,2.8,10.59,0.0,
740742ef,RG Sharma,8.3,8.16,2.0,40.0,8.05,7.0,8.2,8.82,7.0,
402f8494,RJ Gleeson,4.0,10.0,1.0,3.0,7.0,0.0,4.3,11.54,1.0,
12eddf28,RJ Harris,71.0,6.76,14.0,22.0,7.77,6.0,45.7,9.5,27.0,PP_BEAST
26ff4c29,RJ Peterson,2.0,5.0,0.0,3.0,7.0,1.0,3.0,13.0,2.0,
8db7f47f,RJW Topley,10.0,9.1,2.0,5.0,12.4,1.0,5.0,13.8,2.0,
4ec07775,RN ten Doeschate,0.0,,0.0,12.0,6.83,3.0,1.0,12.0,0.0,
64775749,RP Meredith,18.0,8.78,2.0,25.0,8.76,5.0,21.7,11.26,14.0,
c3d1402f,RP Singh,167.0,7.41,35.0,41.0,8.37,10.0,87.8,9.53,55.0,
7d3720ba,RR Bhatkal,1.0,20.0,0.0,1.0,15.0,0.0,0.0,,0.0,
21ac077a,RR Bose,2.0,12.0,0.0,0.0,,0.0,0.0,,0.0,
5d096f3d,RR Powar,22.0,7.77,6.0,45.0,7.38,7.0,4.0,8.75,2.0,
5f4e9e8f,RR Raje,1.0,9.0,0.0,16.0,8.81,6.0,6.2,10.38,1.0,
7ca5e05d,RS Bopara,0.0,,0.0,27.3,8.45,11.0,7.0,10.0,2.0,
9ff100a6,RS Gavaskar,0.0,,0.0,0.0,,0.0,1.0,8.0,0.0,
c3c92b42,RS Hangargekar,1.0,12.0,1.0,3.0,10.67,1.0,2.0,8.0,1.0,
b2570b38,RV Gomez,0.0,,0.0,14.0,7.5,4.0,2.0,12.5,2.0,
60500956,RV Patel,0.0,,0.0,2.0,5.5,0.0,1.0,11.0,0.0,
67af6f81,RW Price,1.0,14.0,0.0,2.0,9.5,0.0,0.0,,0.0,
be24ead0,Ramandeep Singh,0.0,,0.0,3.0,7.67,2.0,3.7,11.18,4.0,
5f547c8b,Rashid Khan,56.0,8.0,16.0,379.5,6.78,107.0,96.0,8.56,43.0,MIDDLE_OVERS_BEAST
b8527c3d,Rasikh Salam,9.0,10.67,0.0,19.0,10.42,7.0,10.5,11.24,3.0,
df064e1a,Ravi Bishnoi,20.0,9.15,3.0,212.0,8.05,53.0,40.2,9.31,21.0,
957532de,S Aravind,71.0,7.65,21.0,31.0,8.71,11.0,24.7,9.89,16.0,
76388dc8,S Badree,26.0,7.54,7.0,16.0,8.06,4.0,1.0,4.0,0.0,
0a476045,S Dhawan,3.0,10.33,1.0,5.0,8.2,3.0,0.0,,0.0,
a4e37e47,S Dube,0.0,,0.0,14.0,10.5,2.0,6.7,11.4,4.0,
7a8bd078,S Gopal,19.0,7.95,8.0,137.0,8.35,39.0,9.2,6.87,6.0,
97290faf,S Joseph,2.0,13.5,0.0,2.0,12.0,0.0,0.0,,0.0,
dcf81436,S Kaul,58.0,9.16,13.0,74.0,8.36,16.0,69.5,8.95,34.0,
1da489ff,S Kaushik,3.0,13.67,0.0,27.0,7.56,6.0,4.0,14.75,0.0,
fb693839,S Ladda,3.0,9.33,1.0,14.0,8.93,1.0,6.0,12.0,3.0,
b410bd3d,S Lamichhane,12.0,8.67,5.0,18.0,7.83,8.0,5.0,10.4,1.0,
ade90de7,S Midhun,0.0,,0.0,2.0,14.5,0.0,0.0,,0.0,
9d80c5e1,S Nadeem,50.0,8.28,10.0,166.8,7.22,38.0,19.0,9.53,6.0,
287686fd,S Narwal,11.0,9.64,4.0,3.7,10.36,0.0,3.0,19.67,2.0,
90edaaa9,S Rana,0.0,,0.0,2.0,8.0,0.0,0.7,3.0,0.0,
f5f18a18,S Randiv,2.0,10.5,0.0,24.0,7.29,5.0,3.0,9.0,3.0,
cdc6bdba,S Sandeep Warrier,23.0,9.22,8.0,5.0,9.0,0.0,0.0,,0.0,
6b8eb6e5,S Sreesanth,95.0,7.78,29.0,29.0,7.79,5.0,22.7,11.29,9.0,
64a4c383,S Sriram,0.0,,0.0,3.0,16.33,0.0,0.0,,0.0,
c24a2c5d,S Tyagi,28.0,8.36,5.0,5.0,7.6,1.0,1.8,17.45,0.0,
756389bd,S Vidyut,0.0,,0.0,2.0,11.0,1.0,0.0,,0.0,
1a2676c5,SA Abbott,5.0,11.0,1.0,3.0,10.33,0.0,1.0,18.0,0.0,
