batter_id,batter_name,innings_count,mean_entry_ball,median_entry_ball,mode_entry_ball,mean_entry_over,median_entry_over,mode_entry_over,position_category,min_entry_ball,max_entry_ball
1ac746c8,Atharva Taide,10,6.8,2.0,0,1.13,0.33,0.0,OPENER,1,28
1c17e270,RV Uthappa,197,23.4,12.0,0,3.9,2.0,0.0,TOP_ORDER,1,128
1c2a64cd,A Ashish Reddy,23,98.0,102.0,102,16.33,17.0,17.0,LOWER_ORDER,29,120
1c914163,Yuvraj Singh,126,54.7,53.5,48,9.11,8.92,8.0,MIDDLE_ORDER,1,117
1dc12ab9,SK Raina,200,31.7,25.0,12,5.29,4.17,2.0,MIDDLE_ORDER,2,112
1e66c162,JD Unadkat,27,106.0,110.0,120,17.66,18.33,20.0,LOWER_ORDER,61,125
1efb8a28,AC Blizzard,7,1.4,1.0,0,0.24,0.17,0.0,OPENER,1,4
1fc6ef83,SD Hope,9,31.1,24.0,24,5.19,4.0,4.0,TOP_ORDER,5,97
21d4e29b,Navdeep Saini,7,86.6,91.0,108,14.43,15.17,18.0,LOWER_ORDER,31,122
235c2bb6,H Klaasen,45,58.2,59.0,42,9.7,9.83,7.0,MIDDLE_ORDER,3,117
23ac69e6,RJ Quiney,7,4.6,1.0,0,0.76,0.17,0.0,OPENER,1,13
23cca426,OF Smith,6,97.7,98.0,96,16.28,16.33,16.0,LOWER_ORDER,78,126
23eeb873,DL Chahar,16,100.8,107.0,120,16.79,17.83,20.0,LOWER_ORDER,43,126
244048f6,Arshdeep Singh,13,111.8,115.0,114,18.64,19.17,19.0,LOWER_ORDER,89,126
245c97cb,TS Mills,5,107.0,122.0,120,17.83,20.33,20.0,LOWER_ORDER,50,125
2461eef2,PA Reddy,10,9.4,1.0,0,1.57,0.17,0.0,OPENER,1,76
2498e163,JR Hopes,19,31.6,6.0,0,5.27,1.0,0.0,OPENER,2,115
24d94623,Ankit Sharma,10,93.8,106.0,120,15.63,17.67,20.0,LOWER_ORDER,1,126
25eeb281,PC Valthaty,23,6.1,4.0,0,1.01,0.67,0.0,OPENER,1,34
26989d80,Shashank Singh,33,72.9,79.0,54,12.15,13.17,9.0,LOWER_ORDER,15,116
26a85969,R Dhawan,22,98.2,95.5,84,16.36,15.92,14.0,LOWER_ORDER,60,128
26d041c4,Sikandar Raza,9,68.4,57.0,24,11.41,9.5,4.0,MIDDLE_ORDER,27,117
